split,train_accuracy,val_accuracy,test_accuracy,train_recall,val_recall,test_recall,train_auc,val_auc,test_auc
Split 0,1.0,0.7910447761194029,0.8333333333333334,1.0,0.5384615384615384,0.6956521739130435,1.0,0.8409943714821764,0.814782608695652
Split 1,1.0,0.8676470588235294,0.717948717948718,1.0,0.6363636363636364,0.47058823529411764,1.0,0.8014354066985646,0.7259358288770054
Split 2,1.0,0.7647058823529411,0.8153846153846154,1.0,0.6923076923076923,0.4666666666666667,1.0,0.7632783882783883,0.7926666666666666
Split 3,1.0,0.8333333333333334,0.8048780487804879,1.0,0.3333333333333333,0.7058823529411765,1.0,0.45238095238095233,0.9227941176470589
Split 4,1.0,0.7674418604651163,0.8372093023255814,1.0,0.55,0.7368421052631579,1.0,0.8173913043478261,0.9035087719298246
Split 5,1.0,0.7777777777777778,0.7380952380952381,1.0,0.5172413793103449,0.45,1.0,0.7369687249398557,0.7943181818181818
Split 6,1.0,0.7115384615384616,0.782608695652174,1.0,0.7037037037037037,0.55,1.0,0.8311111111111111,0.9413461538461538
Split 7,1.0,0.8769230769230769,0.8166666666666667,1.0,0.6,0.7407407407407407,1.0,0.8283333333333334,0.8265993265993266
Split 8,1.0,0.6885245901639344,0.7169811320754716,1.0,0.4,0.3684210526315789,1.0,0.6760869565217391,0.8421052631578947
Split 9,1.0,0.5735294117647058,0.8524590163934426,1.0,0.5,0.5625,1.0,0.6875,0.8888888888888888
Average,1.0,0.765246622926228,0.7915564766655729,1.0,0.547141128348025,0.5747293327450482,1.0,0.7435480549093947,0.8452945808126653
